Player_Names,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,Ball_Faced,Strike_Rate,100's,50's
SR Tendulkar ,India,1989,2012,463,452,41,18426,200,44.83,21368,86.23,49,96
KC Sangakkara ,Sri Lanka,2000,2015,404,380,41,14234,169,41.98,18048,78.86,25,93
V Kohli ,India,2008,2025,302,290,45,14181,183,57.88,15192,93.34,51,74
RT Ponting ,Australia,1995,2012,375,365,39,13704,164,42.03,17046,80.39,30,82
ST Jayasuriya ,Sri Lanka,1989,2011,445,433,18,13430,189,32.36,14725,91.2,28,68
DPMD Jayawardene ,Sri Lanka,1998,2015,448,418,39,12650,144,33.37,16020,78.96,19,77
Inzamam-ul-Haq ,Pakistan,1991,2007,378,350,53,11739,137,39.52,15812,74.24,10,83
JH Kallis ,South Africa,1996,2014,328,314,53,11579,139,44.36,15885,72.89,17,86
SC Ganguly ,India,1992,2007,311,300,23,11363,183,41.02,15416,73.7,22,72
RG Sharma ,India,2007,2025,273,265,36,11168,264,48.76,12034,92.8,32,58
R Dravid ,India,1996,2011,344,318,40,10889,153,39.16,15285,71.23,12,83
MS Dhoni ,India,2004,2019,350,297,84,10773,183,50.57,12303,87.56,10,73
CH Gayle ,West Indies,1999,2019,301,294,17,10480,215,37.83,12019,87.19,25,54
BC Lara ,West Indies,1990,2007,299,289,32,10405,169,40.48,13086,79.51,19,63
TM Dilshan ,Sri Lanka,1999,2016,330,303,41,10290,161,39.27,11933,86.23,22,47
Mohammad Yousuf ,Pakistan,1998,2010,288,273,40,9720,141,41.71,12942,75.1,15,64
AC Gilchrist ,Australia,1996,2008,287,279,11,9619,172,35.89,9922,96.94,16,55
AB de Villiers ,South Africa,2005,2018,228,218,39,9577,176,53.5,9473,101.09,25,53
M Azharuddin ,India,1985,2000,334,308,54,9378,153,36.92,12669,74.02,7,58
PA de Silva ,Sri Lanka,1984,2003,308,296,30,9284,145,34.9,11443,81.13,11,64
Saeed Anwar ,Pakistan,1989,2003,247,244,19,8824,194,39.21,10938,80.67,20,43
S Chanderpaul ,West Indies,1994,2011,268,251,40,8778,150,41.6,12408,70.74,11,59
Yuvraj Singh ,India,2000,2017,304,278,40,8701,150,36.55,9924,87.67,14,52
DL Haynes ,West Indies,1978,1994,238,237,28,8648,152,41.37,13707,63.09,17,57
LRPL Taylor ,New Zealand,2006,2022,236,220,39,8607,181,47.55,10330,83.32,21,51
MS Atapattu ,Sri Lanka,1990,2007,268,259,32,8529,132,37.57,12594,67.72,11,59
ME Waugh ,Australia,1988,2002,244,236,20,8500,173,39.35,11053,76.9,18,50
Tamim Iqbal ,Bangladesh,2007,2023,243,240,12,8357,158,36.65,10642,78.52,14,56
V Sehwag ,India,1999,2013,251,245,9,8273,219,35.05,7929,104.33,15,38
HM Amla ,South Africa,2008,2019,181,178,14,8113,159,49.46,9178,88.39,27,39
HH Gibbs ,South Africa,1996,2010,248,240,16,8094,175,36.13,9721,83.26,21,37
Shahid Afridi ,Pakistan,1996,2015,398,369,27,8064,124,23.57,6892,117.0,6,39
