Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
SR Tendulkar (IND),1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
V Kohli (IND),2008-2025,302,290,45,14181,183,57.88,15192,93.34,51,74,16
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.20,28,68,34
DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
SC Ganguly (Asia/IND),1992-2007,311,300,23,11363,183,41.02,15416,73.70,22,72,16
RG Sharma (IND),2007-2025,273,265,36,11168,264,48.76,12034,92.80,32,58,16
R Dravid (Asia/ICC/IND),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13
MS Dhoni (Asia/IND),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10
CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11
Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.10,15,64,15
AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.50,9473,101.09,25,53,7
M Azharuddin (IND),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9
PA de Silva (SL),1984-2003,308,296,30,9284,145,34.90,11443,81.13,11,64,17
Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15
S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.60,12408,70.74,11,59,6
Yuvraj Singh (Asia/IND),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18
DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13
LRPL Taylor (NZ),2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9
MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13
ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.90,18,50,16
Tamim Iqbal (BAN),2007-2023,243,240,12,8357,158,36.65,10642,78.52,14,56,19
V Sehwag (Asia/ICC/IND),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4
HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,369,27,8064,124,23.57,6892,117.00,6,39,30
SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.40,11242,71.49,8,49,17
MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10
Mushfiqur Rahim (BAN),2006-2025,274,256,42,7795,144,36.42,9780,79.70,9,49,12
EJG Morgan (ENG/IRE),2006-2022,248,230,34,7701,148,39.29,8447,91.16,14,47,18
Shakib Al Hasan (BAN),2006-2023,247,234,31,7570,134*,37.29,9138,82.84,9,56,12
SR Waugh (AUS),1986-2002,325,288,58,7569,120*,32.90,9971,75.91,3,45,15
Shoaib Malik (PAK),1999-2019,287,258,40,7534,143,34.55,9199,81.90,9,44,15
